Nom_de_Domaine,have_IP,have_at,longueur,profondeur,nb_de_caractere_spec,redirection,http_ds_domaine,red_URL,whois,periode_de_vie,age_url,iframe,forwarding,label
ikea,0,0,0,0,1,0,0,0,0,0,0,0,1,0
cnbc,0,0,0,0,1,0,0,0,0,0,0,0,2,0
timeweb,0,0,0,0,1,0,0,0,0,0,0,0,1,0
godaddy,0,0,0,0,1,0,0,0,0,0,0,1,1,0
hollywoodreporter,0,0,0,0,1,0,0,0,0,0,0,0,1,0
biglobe,0,0,0,0,1,0,0,0,0,1,1,0,0,0
harvard,0,0,0,0,1,0,0,0,0,1,1,0,1,0
gmail,0,0,0,0,1,0,0,0,0,0,0,0,5,0
ftc,0,0,0,0,1,0,0,0,0,1,1,0,1,0
sendspace,0,0,0,0,1,0,0,0,0,0,0,0,1,0
thetimes,0,0,0,0,1,0,0,0,0,0,0,0,1,0
googleblog,0,0,0,0,1,0,0,0,0,0,0,0,1,0
metro,0,0,0,0,1,0,0,0,0,0,0,0,0,0
thenai,0,0,0,0,1,0,0,0,0,1,1,0,0,0
lefigaro,0,0,0,0,1,0,0,0,0,0,0,0,1,0
radiofrance,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ea,0,0,0,0,1,0,0,0,0,0,0,0,1,0
amazonaws,0,0,0,0,1,0,0,0,0,0,0,1,1,0
google,0,0,0,0,1,0,0,0,0,0,0,0,0,0
themeforest,0,0,0,0,1,0,0,0,0,0,0,0,0,0
prezi,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nikkei,0,0,0,0,1,0,0,0,0,0,0,0,1,0
wikipedia,0,0,0,0,1,0,0,0,0,0,0,0,0,0
imageshack,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cambridge,0,0,0,0,1,0,0,0,0,0,0,0,1,0
nicovideo,0,0,0,0,1,0,0,0,0,1,1,0,1,0
disqus,0,0,0,0,1,0,0,0,0,0,0,0,0,0
evernote,0,0,0,0,1,0,0,0,0,0,0,0,0,0
php,0,0,0,0,1,0,0,0,0,0,0,0,1,0
theverge,0,0,0,0,1,0,0,0,0,0,0,0,1,0
about,0,0,0,0,1,0,0,1,0,0,0,0,2,0
rapidshare,0,0,0,0,1,0,0,0,0,0,0,1,1,0
xing,0,0,0,0,1,0,0,0,0,0,0,0,1,0
springer,0,0,0,0,1,0,0,0,0,0,0,0,2,0
netflix,0,0,0,0,1,0,0,1,0,0,0,0,2,0
reg,0,0,0,0,1,0,0,0,0,0,0,0,1,0
gfycat,0,0,0,0,1,0,0,1,0,1,1,0,0,0
twimg,0,0,0,0,1,0,0,0,0,0,0,1,1,0
nokia,0,0,0,0,1,0,0,0,0,0,0,1,1,0
bfmtv,0,0,0,0,1,0,0,0,0,0,0,0,1,0
inc,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cam,0,0,0,0,1,0,0,0,0,1,0,0,1,0
history,0,0,0,0,1,0,0,0,0,0,0,0,1,0
tagesspiegel,0,0,0,0,1,0,0,0,0,1,1,0,1,0
ndtv,0,0,0,0,1,0,0,0,0,0,0,0,1,0
digitaltrends,0,0,0,0,1,0,0,0,0,0,0,0,1,0
lg,0,0,0,0,1,0,0,0,0,0,0,0,2,0
lenta,0,0,0,0,1,0,0,0,0,0,0,0,0,0
udemy,0,0,0,0,1,0,0,0,0,1,0,0,1,0
allrecipes,0,0,0,0,1,0,0,0,0,0,0,0,1,0
allaboutcookies,0,0,0,0,1,0,0,0,0,0,0,0,0,0
newscientist,0,0,0,0,1,0,0,1,0,0,0,0,1,0
channel4,0,0,0,0,1,0,0,0,0,0,0,0,1,0
